"","State","Region"
"1","AL","South"
"2","AK","West"
"3","AZ","West"
"4","AR","South"
"5","CA","West"
"6","CO","West"
"7","CT","Northeast"
"8","DE","South"
"9","FL","South"
"10","GA","South"
"11","HI","West"
"12","ID","West"
"13","IL","North Central"
"14","IN","North Central"
"15","IA","North Central"
"16","KS","North Central"
"17","KY","South"
"18","LA","South"
"19","ME","Northeast"
"20","MD","South"
"21","MA","Northeast"
"22","MI","North Central"
"23","MN","North Central"
"24","MS","South"
"25","MO","North Central"
"26","MT","West"
"27","NE","North Central"
"28","NV","West"
"29","NH","Northeast"
"30","NJ","Northeast"
"31","NM","West"
"32","NY","Northeast"
"33","NC","South"
"34","ND","North Central"
"35","OH","North Central"
"36","OK","South"
"37","OR","West"
"38","PA","Northeast"
"39","RI","Northeast"
"40","SC","South"
"41","SD","North Central"
"42","TN","South"
"43","TX","South"
"44","UT","West"
"45","VT","Northeast"
"46","VA","South"
"47","WA","West"
"48","WV","South"
"49","WI","North Central"
"50","WY","West"
